"Показник","Базисний період","Територіальний розріз","Тип товарів і послуг","Періодичність","Період","Значення cпостереження"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2019-M05","114.22"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2019-M06","113.76"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2019-M07","113.27"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2019-M08","114.7"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2019-M09","113.67"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2019-M10","110.32"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2019-M11","105.12"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2019-M12","96.91"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2020-M01","93.59"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2020-M02","86.45"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2020-M03","87.57"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2020-M04","82.1"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2020-M05","72.17"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2020-M06","77.09"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2020-M07","84.96"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2020-M08","89.81"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2020-M09","90.8"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2020-M10","93.16"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2020-M11","90.6"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2020-M12","92.43"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2021-M01","92.33"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2021-M02","99.7"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2021-M03","102.34"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2021-M04","104.56"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2021-M05","105.67"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2021-M06","102.05"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2021-M07","106.13"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2021-M08","109.21"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2021-M09","113.27"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2021-M10","116.33"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2021-M11","114.18"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2021-M12","112.87"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2022-M01","121.27"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2022-M02","118.36"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2022-M03","124.43"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2022-M04","116.53"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2022-M05","122.59"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2022-M06","132.05"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2022-M07","135.96"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2022-M08","137.37"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2022-M09","132.2"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2022-M10","129.82"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2022-M11","131.86"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2022-M12","132.04"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2023-M01","136.12"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2023-M02","139.04"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2023-M03","144.51"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2023-M04","144.94"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2023-M05","147.94"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2023-M06","150.5"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2023-M07","148.36"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2023-M08","158.44"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2023-M09","162.62"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2023-M10","160.44"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2023-M11","156.81"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2023-M12","158.09"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2024-M01","155.78"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2024-M02","153.76"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2024-M03","158.97"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2024-M04","159.02"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2024-M05","161.94"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2024-M06","155.45"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2024-M07","155.23"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2024-M08","158.73"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2024-M09","173.02"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2024-M10","174.29"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2024-M11","172.4"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2024-M12","169.76"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2025-M01","169.19"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2025-M02","165.38"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2025-M03","173.08"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2025-M04","188.44"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2025-M05","196.78"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2025-M06","215.45"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2025-M07","216.94"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2025-M08","224.24"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2025-M09","221.21"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Філе куряче","Місячна","2025-M10","231.62"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2017-M01","44.13"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2017-M02","44.81"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2017-M03","45.66"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2017-M04","46.26"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2017-M05","46.74"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2017-M06","47.08"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2017-M07","51.91"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2017-M08","54.14"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2017-M09","56.82"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2017-M10","57.29"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2017-M11","57.02"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2017-M12","56.07"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2018-M01","56.08"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2018-M02","55.6"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2018-M03","55.4"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2018-M04","56.47"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2018-M05","56.68"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2018-M06","57.26"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2018-M07","57.37"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2018-M08","57.84"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2018-M09","60.51"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2018-M10","61.14"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2018-M11","60.49"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2018-M12","59.04"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2019-M01","60.22"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2019-M02","60.7"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2019-M03","60.9"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2019-M04","61.53"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2019-M05","61.75"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2019-M06","62.21"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2019-M07","62.45"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2019-M08","63.71"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2019-M09","63.92"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2019-M10","64.56"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2019-M11","61.19"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2019-M12","59"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2020-M01","56.44"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2020-M02","51.81"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2020-M03","50.03"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2020-M04","50.65"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2020-M05","46.68"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2020-M06","50.67"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2020-M07","51.91"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2020-M08","53.43"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2020-M09","53.75"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2020-M10","55.2"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2020-M11","55.93"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2020-M12","56.15"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2021-M01","58.28"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2021-M02","60.33"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2021-M03","64.17"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2021-M04","64.98"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2021-M05","67.99"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2021-M06","66.86"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2021-M07","69.19"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2021-M08","71.35"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2021-M09","72.93"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2021-M10","73.9"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2021-M11","72.16"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2021-M12","69.33"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2022-M01","73.34"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2022-M02","72.41"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2022-M03","78.6"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2022-M04","74.58"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2022-M05","73.39"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2022-M06","82.8"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2022-M07","78.53"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2022-M08","85.12"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2022-M09","83.17"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2022-M10","81.97"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2022-M11","81.48"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2022-M12","81.18"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2023-M01","84.8"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2023-M02","88.88"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2023-M03","89.44"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2023-M04","87.69"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2023-M05","90.46"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2023-M06","90.53"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2023-M07","93.26"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2023-M08","95.91"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2023-M09","95.53"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2023-M10","94.91"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2023-M11","94.82"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2023-M12","92.91"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2024-M01","95.48"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2024-M02","89.88"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2024-M03","87.67"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2024-M04","89.9"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2024-M05","89.78"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2024-M06","87.17"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2024-M07","84.1"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2024-M08","84.15"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2024-M09","92.54"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2024-M10","94.46"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2024-M11","94.42"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2024-M12","96.41"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2025-M01","94.43"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2025-M02","89.88"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2025-M03","96.14"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2025-M04","100.84"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2025-M05","108.06"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2025-M06","114.48"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2025-M07","114.49"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2025-M08","115.47"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2025-M09","117.56"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Птиця (тушки курячі)","Місячна","2025-M10","120.92"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Свинина","Місячна","2017-M01","77.42"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Свинина","Місячна","2017-M02","79.34"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Свинина","Місячна","2017-M03","83.7"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Свинина","Місячна","2017-M04","88.94"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Свинина","Місячна","2017-M05","93.9"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Свинина","Місячна","2017-M06","103.34"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Свинина","Місячна","2017-M07","109.77"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Свинина","Місячна","2017-M08","111.61"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Свинина","Місячна","2017-M09","114.88"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Свинина","Місячна","2017-M10","111.27"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Свинина","Місячна","2017-M11","108.26"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Свинина","Місячна","2017-M12","109.14"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Свинина","Місячна","2018-M01","109.99"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Свинина","Місячна","2018-M02","105.66"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Свинина","Місячна","2018-M03","110.9"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Свинина","Місячна","2018-M04","118.61"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Свинина","Місячна","2018-M05","118.76"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Свинина","Місячна","2018-M06","116.04"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Свинина","Місячна","2018-M07","116.98"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Свинина","Місячна","2018-M08","116.4"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Свинина","Місячна","2018-M09","122.42"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Свинина","Місячна","2018-M10","121.82"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Свинина","Місячна","2018-M11","117.2"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Свинина","Місячна","2018-M12","117.74"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Свинина","Місячна","2019-M01","118.51"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Свинина","Місячна","2019-M02","114.96"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Свинина","Місячна","2019-M03","111.96"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Свинина","Місячна","2019-M04","118.54"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Свинина","Місячна","2019-M05","123.09"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Свинина","Місячна","2019-M06","122.21"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Свинина","Місячна","2019-M07","122.84"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Свинина","Місячна","2019-M08","124.65"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Свинина","Місячна","2019-M09","124.83"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Свинина","Місячна","2019-M10","123.81"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Свинина","Місячна","2019-M11","118.42"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Свинина","Місячна","2019-M12","119.14"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Свинина","Місячна","2020-M01","117.34"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Свинина","Місячна","2020-M02","117.33"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Свинина","Місячна","2020-M03","119.35"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Свинина","Місячна","2020-M04","125.17"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Свинина","Місячна","2020-M05","121.93"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Свинина","Місячна","2020-M06","116.53"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Свинина","Місячна","2020-M07","116.67"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Свинина","Місячна","2020-M08","123.38"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Свинина","Місячна","2020-M09","119.61"
